F;SVC(linear,C=1);;SVC(rbf,C=1);;RF;;XGB;;KNN(N=5);;$CG_{32,16}^{100}$;;$CG_{128,16}^{100}$;
196;0.634;0.00648;0.272;0.00487;0.668;0.00307;0.697;0.00459;0.775;0.00353;0.73;0.0039;0.709;0.00439
200;0.615;0.0107;0.264;0.00586;0.667;0.00429;0.699;0.00423;0.772;0.00358;0.73;0.00374;0.708;0.00346
204;0.625;0.0115;0.283;0.00691;0.659;0.00436;0.694;0.00379;0.767;0.00271;0.729;0.00354;0.701;0.00435
208;0.602;0.0147;0.26;0.00394;0.661;0.00321;0.699;0.00416;0.772;0.00427;0.735;0.0041;0.708;0.00461
212;0.62;0.011;0.271;0.00579;0.669;0.00365;0.699;0.0039;0.767;0.00373;0.728;0.00317;0.703;0.00308
216;0.592;0.0121;0.277;0.00454;0.648;0.00349;0.681;0.00357;0.761;0.00252;0.715;0.00359;0.689;0.00367
220;0.597;0.0123;0.266;0.00416;0.653;0.00358;0.693;0.00351;0.768;0.00386;0.729;0.00315;0.701;0.0041
224;0.603;0.0139;0.283;0.00646;0.651;0.00388;0.682;0.0051;0.753;0.0039;0.708;0.00462;0.689;0.00392
228;0.566;0.0126;0.278;0.00516;0.654;0.00472;0.685;0.00363;0.76;0.00379;0.719;0.00327;0.688;0.00352
232;0.605;0.0108;0.28;0.00472;0.642;0.00342;0.679;0.00388;0.758;0.00373;0.71;0.00405;0.685;0.00451
236;0.575;0.0145;0.275;0.00505;0.646;0.0037;0.684;0.00411;0.761;0.00386;0.716;0.00409;0.692;0.00407
240;0.575;0.013;0.275;0.00568;0.65;0.00356;0.684;0.00436;0.759;0.00448;0.718;0.00456;0.693;0.00442
244;0.602;0.0103;0.282;0.00484;0.651;0.00276;0.68;0.00356;0.756;0.00348;0.713;0.00327;0.689;0.00412
248;0.602;0.0104;0.287;0.00387;0.643;0.00385;0.673;0.00377;0.75;0.004;0.7;0.00434;0.684;0.00426
252;0.574;0.0109;0.281;0.00377;0.641;0.00298;0.677;0.00303;0.754;0.00247;0.707;0.00355;0.686;0.00385
256;0.581;0.0105;0.293;0.00401;0.633;0.00319;0.669;0.00293;0.748;0.00366;0.7;0.00301;0.679;0.00385
260;0.571;0.00947;0.288;0.00339;0.63;0.00306;0.667;0.00352;0.746;0.0027;0.695;0.00309;0.68;0.00376
264;0.581;0.0105;0.291;0.00697;0.636;0.00473;0.671;0.00459;0.75;0.00441;0.702;0.00479;0.682;0.00503
268;0.565;0.012;0.282;0.00493;0.639;0.00266;0.674;0.00378;0.75;0.00359;0.7;0.00353;0.687;0.00322
272;0.58;0.0127;0.286;0.0026;0.634;0.00342;0.671;0.00251;0.743;0.00322;0.702;0.00162;0.68;0.00228
276;0.562;0.0131;0.284;0.00441;0.631;0.00522;0.67;0.00418;0.751;0.00395;0.701;0.00362;0.681;0.00434
280;0.545;0.00914;0.296;0.00486;0.628;0.00348;0.659;0.00301;0.744;0.00361;0.69;0.00344;0.677;0.00376
284;0.548;0.0107;0.288;0.0041;0.627;0.00281;0.664;0.00389;0.743;0.00245;0.692;0.00398;0.674;0.00415
288;0.558;0.0132;0.285;0.00307;0.631;0.00322;0.67;0.00366;0.75;0.00307;0.696;0.00312;0.681;0.00367
292;0.571;0.00916;0.286;0.00357;0.631;0.00311;0.664;0.0035;0.747;0.00353;0.701;0.00316;0.678;0.00305
296;0.547;0.00905;0.291;0.00317;0.626;0.00306;0.661;0.00356;0.741;0.00349;0.693;0.00373;0.671;0.00457
300;0.544;0.013;0.297;0.00457;0.62;0.00414;0.661;0.00428;0.744;0.0035;0.694;0.00399;0.672;0.00407
304;0.546;0.0103;0.295;0.00297;0.624;0.00281;0.662;0.00326;0.737;0.00366;0.688;0.00353;0.673;0.00301
308;0.534;0.0143;0.293;0.0039;0.62;0.0035;0.659;0.00361;0.739;0.00338;0.693;0.00346;0.676;0.0036
312;0.557;0.0111;0.301;0.00481;0.62;0.00434;0.655;0.00424;0.733;0.00357;0.684;0.00455;0.667;0.00388
316;0.545;0.0129;0.292;0.00283;0.623;0.00351;0.659;0.00363;0.74;0.00239;0.688;0.0034;0.672;0.00404
320;0.521;0.0157;0.299;0.00373;0.621;0.00361;0.646;0.00351;0.732;0.00289;0.679;0.00338;0.668;0.0042
324;0.547;0.00874;0.304;0.00564;0.614;0.00409;0.646;0.00446;0.731;0.00584;0.676;0.00509;0.663;0.00493
328;0.542;0.0107;0.304;0.00319;0.613;0.00256;0.646;0.00338;0.726;0.00349;0.672;0.00331;0.657;0.00283
332;0.541;0.00946;0.304;0.00212;0.603;0.0035;0.643;0.00248;0.73;0.00306;0.678;0.0028;0.66;0.00393
336;0.524;0.0143;0.305;0.00324;0.609;0.00323;0.646;0.00314;0.731;0.00413;0.677;0.00326;0.663;0.00435
340;0.517;0.0101;0.306;0.0031;0.606;0.0033;0.644;0.0026;0.732;0.00313;0.678;0.00239;0.659;0.00391
344;0.542;0.00947;0.315;0.00473;0.611;0.00502;0.642;0.00366;0.723;0.0035;0.664;0.00402;0.651;0.00473
348;0.529;0.0111;0.309;0.00358;0.611;0.00461;0.64;0.00252;0.728;0.00391;0.674;0.00421;0.657;0.00311
352;0.506;0.0107;0.309;0.0038;0.608;0.00412;0.644;0.0051;0.722;0.00368;0.666;0.00418;0.655;0.0044
356;0.54;0.0103;0.309;0.00274;0.61;0.00378;0.642;0.00308;0.731;0.00338;0.671;0.0037;0.655;0.0036
360;0.524;0.0082;0.308;0.00463;0.607;0.00379;0.644;0.00374;0.727;0.00424;0.669;0.00328;0.657;0.00361
364;0.546;0.00893;0.31;0.0035;0.613;0.00403;0.641;0.0026;0.724;0.00268;0.668;0.00308;0.663;0.00365
368;0.513;0.0107;0.313;0.0048;0.606;0.00397;0.636;0.0045;0.722;0.00475;0.666;0.00404;0.655;0.00525
372;0.502;0.0086;0.321;0.00361;0.596;0.00397;0.63;0.00335;0.718;0.00304;0.658;0.00256;0.639;0.00355
376;0.511;0.00959;0.319;0.00339;0.608;0.00313;0.631;0.00478;0.715;0.00371;0.661;0.00334;0.65;0.0036
380;0.51;0.011;0.318;0.00341;0.599;0.00367;0.636;0.00395;0.717;0.00366;0.667;0.00487;0.653;0.00331
